Gender,Race,Residence,Income,School Type,Hooks,Major,Rank%,SAT,ACT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections
F,ASIAN,IL,Low,-1,URM,ENG,-1,1510,15,3.5,0.0,"['*CASE WESTERN', '*ARIZONA STATE']",[],"['*JOHNS HOPKINS', '*RICE', '*UMICH', '*UIUC', '*NORTHEASTERN', '*TULANE']"
M,WHITE,OTHER,High,PRIVATE,LEGACY,CS,-1,1560,-1,6.5,7.0,['*GEORGIA TECH'],['*NORTHEASTERN'],"['*YALE', '*BROWN', '*GEORGIA TECH', '*CMU', '*UIUC', '*BOSTON UNIVERSITY', '*WASHU', '*NORTHEASTERN', '*UVA']"
M,ASIAN,IN,Low,PRIVATE,NONE,CS,-1,1540,-1,2.5,2.5,"['*PURDUE', '*FORDHAM', '*RUTGERS', '*ARIZONA STATE']",[],['*RUTGERS']
M,ASIAN,IN,High,PUBLIC,MISSING,CS,-1,-1,-1,6.5,8.0,"['*UPENN', '*RUTGERS', '*ARIZONA STATE', '*TAMU']","['*GEORGIA TECH', '*PURDUE', '*NORTHEASTERN']","['*PURDUE', '*UT-AUSTIN', '*RUTGERS']"
M,ASIAN,IL,High,PUBLIC,FIRST-GEN,CS,-1,1590,-1,8.5,4.5,"['*PURDUE', '*UCSB', '*UW MADISON']",['*CMU'],"['*UCLA', '*STANFORD', '*BERKELEY', '*UIUC', '*UT-AUSTIN']"
M,WHITE,USA,Low,-1,NONE,ENG,50,1370,-1,6.5,6.7,['*PURDUE'],[],[]
M,BLACK,NY,High,PUBLIC,URM,-1,10,-1,-1,6,6.9,[],"['*MIT', '*NORTHEASTERN']","['*CORNELL', '*MIT', '*CMU', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*TUFTS']"
F,ASIAN,MI,Middle,PRIVATE,NONE,BIO,-1,1580,35,4.5,8.5,"['*MIT', '*NORTHEASTERN']",[],"['*RICE', '*VANDERBILT', '*UT-AUSTIN']"
M,ASIAN,IA,OTHER,-1,OTHER,-1,-1,1570,-1,3.5,3.5,"['*GEORGIA TECH', '*PURDUE', '*UPENN', '*ARIZONA STATE']",[],"['*UCLA', '*STANFORD', '*UCSD', '*MIT', '*DARTMOUTH', '*RICE', '*UW MADISON']"
F,BLACK,TX,Low,PUBLIC,URM,CS,14,-1,-1,6.5,4.5,"['*HARVARD', '*UT-AUSTIN', '*UT-DALLAS', '*FORDHAM', '*NORTHEASTERN', '*TAMU']",[],['*PURDUE']
M,ASIAN,MI,Low,-1,FIRST-GEN,CS,-1,1310,13,5.5,2.5,['*GEORGIA TECH'],[],"['*COLUMBIA', '*UIUC', '*UCHICAGO']"
F,ASIAN,TN,High,PUBLIC,LEGACY,POLISCI,-1,-1,35,7.5,3.7,['*NORTHEASTERN'],[],[]
F,OTHER,TX,Low,PUBLIC,URM,-1,2,-1,-1,5.5,3.5,[],[],['*RICE']
F,ASIAN,TX,Low,PUBLIC,FIRST-GEN,BIO,5,1370,-1,6.5,4.5,"['*EMORY', '*UT-AUSTIN']",['*RICE'],[]
M,ASIAN,GA,High,PUBLIC,NONE,CS,7,1550,-1,6.5,6.5,['*GEORGIA TECH'],[],[]
M,WHITE,CA,High,PUBLIC,NONE,UNDECIDED,8,-1,34,6.5,6.5,"['*VIRGINIA TECH', '*UVA']",[],"['*HARVARD', '*CORNELL', '*DUKE', '*VANDERBILT']"
M,WHITE,WA,Low,-1,NONE,CS,-1,1510,15,5.5,4.0,[],['*WASHU'],"['*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*JOHNS HOPKINS', '*WILLIAMS', '*CASE WESTERN', '*BOSTON UNIVERSITY', '*TUFTS']"
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,-1,1550,36,7.5,7.2,"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*GEORGIA TECH', '*JOHNS HOPKINS', '*CMU', '*UPENN', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*UCHICAGO']",[],[]
M,ASIAN,MA,Low,-1,LEGACY,ENG,-1,1520,15,6.5,1.0,"['*CALTECH', '*CASE WESTERN']","['*CMU', '*NORTHEASTERN']","['*UCLA', '*HARVARD', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*SWARTHMORE', '*UPENN', '*WASHU', '*TUFTS', '*HARVEY MUDD']"
F,ASIAN,OR,Low,-1,NONE,BIO,26,1310,13,1.5,4.8,[],[],"['*VIRGINIA TECH', '*UVA']"
F,WHITE,UT,Low,-1,OTHER,CHEMISTRY,-1,-1,33,2,1.0,['*NORTHEASTERN'],[],"['*VIRGINIA TECH', '*UVA']"
F,WHITE,CO,MISSING,PRIVATE,NONE,BUSINESS,-1,-1,34,5,2.5,"['*MIT', '*UVA']",[],[]
F,ASIAN,CA,Low,PUBLIC,NONE,LAW,1,1310,-1,6.5,8.5,['*JOHNS HOPKINS'],[],[]
M,ASIAN,PA,Low,PUBLIC,URM,EDUCATION,10,-1,35,6.5,4.5,"['*BROWN', '*NORTHWESTERN', '*CORNELL', '*SWARTHMORE', '*VANDERBILT', '*UPENN', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE']",[],[]
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,-1,1390,-1,6.5,8.5,"['*UMICH', '*UVA']",[],"['*SWARTHMORE', '*FORDHAM']"
M,ASIAN,CA,Low,-1,OTHER,BUSINESS,-1,1250,12,1,6.5,[],"['*UCLA', '*ARIZONA STATE']",[]
F,WHITE,GA,High,PUBLIC,LEGACY,-1,7,1300,28,6.5,2.5,"['*BERKELEY', '*UCSD', '*UCSB', '*TULANE']",[],"['*UCLA', '*COLUMBIA', '*NYU', '*BOSTON UNIVERSITY', '*TULANE']"
M,OTHER,MI,High,PRIVATE,NONE,CS,-1,-1,35,6.5,8.3,['*JOHNS HOPKINS'],[],['*DARTMOUTH']
F,ASIAN,IN,Low,-1,FIRST-GEN,BUSINESS,-1,1380,13,5.5,2.5,['*UVA'],[],[]
M,ASIAN,CA,Low,PRIVATE,NONE,CS,-1,1570,-1,7.5,3.7,['*BERKELEY'],"['*GEORGIA TECH', '*PURDUE', '*UMICH', '*CASE WESTERN']",['*CMU']
M,ASIAN,IN,High,PUBLIC,NONE,ENG,5,1590,-1,6.5,7.8,['*DUKE'],"['*UCLA', '*BERKELEY', '*GEORGIA TECH', '*UMICH', '*UVA']",[]
M,ASIAN,OR,High,PRIVATE,NONE,CS,-1,1600,-1,8.5,6.5,[],['*HARVARD'],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*CALTECH', '*NYU', '*UPENN', '*TUFTS']"
F,ASIAN,CA,High,PUBLIC,LEGACY,BUSINESS,-1,-1,35,8.5,4.2,"['*BROWN', '*CASE WESTERN', '*FORDHAM']",['*MIT'],[]
F,ASIAN,MA,High,PRIVATE,OTHER,BIO,20,1550,-1,5.5,7.6,"['*NORTHEASTERN', '*UVA']","['*JOHNS HOPKINS', '*UMICH', '*UNC CHAPEL HILL']","['*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*DUKE', '*UPENN', '*CASE WESTERN']"
M,BLACK,GA,High,PUBLIC,URM,CS,-1,1530,-1,3.5,7.8,"['*MIT', '*GEORGIA TECH']",[],[]
F,WHITE,LA,Low,PUBLIC,NONE,PSYCH,-1,-1,28,2,6.5,[],[],[]
NB,ASIAN,NY,High,PUBLIC,FIRST-GEN,PSYCH,20,-1,34,9.5,7.2,"['*COLUMBIA', '*FORDHAM']",[],[]
F,WHITE,MA,Low,PUBLIC,OTHER,CS,10,-1,32,4.5,4.2,"['*PURDUE', '*UMICH']",[],"['*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*CORNELL', '*MIT', '*CALTECH', '*BOSTON UNIVERSITY']"
M,ASIAN,CA,High,PUBLIC,NONE,CS,-1,1500,-1,6.5,8.2,"['*GEORGIA TECH', '*PURDUE', '*UMICH', '*UIUC', '*NORTHEASTERN', '*UVA']",[],"['*NORTHWESTERN', '*CORNELL', '*DUKE', '*DARTMOUTH', '*CMU', '*RICE', '*UPENN', '*UCR', '*San Jose State University']"
F,WHITE,FL,High,PUBLIC,NONE,CS,1,1410,-1,3.5,4.7,[],[],[]
M,ASIAN,IN,Low,PRIVATE,NONE,-1,-1,1560,-1,7.5,7.5,"['*NYU', '*UT-AUSTIN']",['*UMICH'],"['*NYU', '*UPENN', '*UT-AUSTIN']"
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,20,1410,34,3.5,7.8,[],[],"['*UCLA', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DARTMOUTH', '*NYU', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE']"
F,ASIAN,IN,Low,-1,NONE,CS,93,-1,-1,2,2.5,"['*FORDHAM', '*NORTHEASTERN', '*TULANE']",[],[]
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CHEMISTRY,5,1550,-1,"{'extracurriculars': {'worked in family’s takeout restaurant': 1, 'shadowed physician, managed vaccine database': 2, 'robotics chief exec': 6, 'chinese honor society president': 2, 'advocacy club head of racial issues committee': 7, 'model un crisis coordinator': 6, 'assistant stem instructor': 6, 'data science research summer program': 7, 'summer day camp ta': 5, 'piano': 1}, 'awards': {'rensselaer medal': 3, 'national merit finalist': 3, 'robotics state titles': 4, 'school excellence awards': 2, 'nhs': 1}}",6.7,"['*BROWN', '*CASE WESTERN']",[],[]
M,WHITE,IL,Low,PUBLIC,NONE,CS,-1,-1,18,5,4.5,"['*PRINCETON', '*VIRGINIA TECH', '*NORTHEASTERN', '*UVA', '*TAMU']",[],"['*YALE', '*BROWN', '*MIT', '*UPENN', '*UMICH', '*UT-AUSTIN']"
M,ASIAN,CA,High,PRIVATE,NONE,CS,-1,-1,36,7.5,4.2,"['*UCLA', '*BROWN', '*BERKELEY', '*DUKE', '*UCSD', '*PURDUE', '*RICE', '*UCSB', '*BOSTON UNIVERSITY', '*UCI']",[],"['*UCLA', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*PRINCETON', '*UCSD', '*PURDUE', '*RICE', '*UCSB', '*UCD', '*BOSTON UNIVERSITY', '*UCI']"
M,WHITE,FL,Low,-1,LGBT,BUSINESS,-1,-1,31,4.5,2.5,[],[],"['*RICE', '*NYU']"
F,ASIAN,IN,Low,-1,NONE,CS,-1,-1,35,5.5,1.5,"['*UCLA', '*UCSD', '*PURDUE', '*UCSB', '*UIUC', '*UT-AUSTIN']","['*CORNELL', '*CMU', '*HARVEY MUDD']","['*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*SWARTHMORE', '*RICE', '*POMONA', '*VANDERBILT', '*UPENN', '*UMICH', '*USC']"
M,ASIAN,TX,Low,PUBLIC,NONE,CS,10,1470,10,6.5,4.5,"['*UW MADISON', '*ARIZONA STATE']",['*UNC CHAPEL HILL'],"['*PRINCETON', '*GEORGIA TECH', '*UIUC', '*UT-AUSTIN']"
F,ASIAN,IA,High,-1,NONE,PSYCH,-1,1520,-1,3,4.5,"['*RUTGERS', '*San Jose State University']",[],"['*YALE', '*DUKE']"
M,WHITE,INTERNATIONAL,Low,PRIVATE,NONE,CS,-1,1550,-1,5.5,6.5,['*UCHICAGO'],"['*BROWN', '*COLUMBIA', '*CORNELL']","['*HARVARD', '*YALE', '*STANFORD', '*PRINCETON', '*MIT', '*DARTMOUTH', '*UPENN']"
F,BLACK,NY,Middle,PUBLIC,LEGACY,BUSINESS,-1,-1,-1,5.5,8.5,['*FORDHAM'],[],"['*NYU', '*NORTHEASTERN']"
F,BLACK,VA,Low,-1,URM,PSYCH,-1,1370,-1,5,6.5,[],[],"['*NORTHWESTERN', '*USC', '*NORTHEASTERN']"
F,OTHER,INTERNATIONAL,High,-1,NONE,ENG,-1,-1,-1,5.5,6.5,[],"['*YALE', '*BROWN', '*CORNELL', '*DARTMOUTH', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*TUFTS']",[]
M,BLACK,GA,Low,PUBLIC,FIRST-GEN,HUMANITIES,5,-1,-1,7.5,7.5,"['*UCLA', '*YALE', '*STANFORD', '*NORTHWESTERN', '*BERKELEY', '*DUKE', '*PRINCETON', '*VANDERBILT', '*NYU']",[],['*COLUMBIA']
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,-1,1500,-1,6.5,4.5,"['*UCSD', '*NYU', '*USC', '*BOSTON UNIVERSITY']","['*CMU', '*UPENN']","['*UCLA', '*NORTHWESTERN', '*MIT', '*TUFTS']"
F,WHITE,MI,High,PUBLIC,LEGACY,CS,3,-1,35,6.5,4.5,"['*NORTHEASTERN', '*UW MADISON']","['*VIRGINIA TECH', '*UVA']",[]
F,WHITE,IN,Low,PRIVATE,URM,BUSINESS,-1,1360,-1,6.5,6.5,"['*CORNELL', '*FORDHAM']",[],"['*NYU', '*NORTHEASTERN', '*COLGATE', '*TUFTS']"
F,BLACK,GA,High,-1,URM,-1,-1,-1,27,2,2.5,[],[],[]
F,BLACK,CA,Low,PUBLIC,NONE,CS,-1,1360,-1,2,2.5,['*UCLA'],['*UCSD'],['*UCI']
M,ASIAN,OR,High,PRIVATE,NONE,CS,-1,1530,-1,8.5,7.2,[],['*HARVARD'],"['*UCLA', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*CALTECH', '*NYU', '*UPENN', '*TUFTS']"
M,WHITE,MA,Low,-1,OTHER,MUSIC,-1,1110,-1,6.5,2.5,['*NORTHEASTERN'],[],['*NYU']
F,ASIAN,CA,High,PUBLIC,LEGACY,BIO,1,1340,-1,3.5,2.5,"['*UCLA', '*UCSD', '*POMONA', '*UCR']",[],['*UCLA']
M,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,CS,-1,-1,-1,4,4.5,"['*NYU', '*NORTHEASTERN']",['*UIUC'],[]
M,ASIAN,IL,Low,-1,NONE,CS,1,-1,-1,6.5,6.5,['*HARVARD'],['*PRINCETON'],"['*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*MIT', '*CALTECH', '*JOHNS HOPKINS', '*SWARTHMORE', '*DARTMOUTH', '*WILLIAMS', '*VANDERBILT', '*UPENN', '*TUFTS', '*UCHICAGO']"
M,ARAB,OR,Low,PRIVATE,NONE,CS,19,-1,-1,6.5,6.5,[],[],['*COLGATE']
M,ASIAN,NY,High,PUBLIC,NONE,ENG,1,-1,-1,6.5,6.5,"['*BROWN', '*CORNELL', '*JOHNS HOPKINS', '*SWARTHMORE', '*WILLIAMS', '*HARVEY MUDD']",[],"['*STANFORD', '*NORTHWESTERN', '*UPENN']"
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,2,1410,-1,1,4.5,[],['*UCI'],['*UCLA']
M,HISPANIC,CA,High,PUBLIC,NONE,ENG,-1,-1,21,2.5,4.2,"['*UPENN', '*UW MADISON']",[],"['*PURDUE', '*UIUC']"
M,ASIAN,TX,High,-1,NONE,HISTORY,-1,1490,-1,6.5,3.5,"['*RICE', '*UCHICAGO', '*CLAREMONT MCKENNA', '*TAMU']",[],['*UT-AUSTIN']
F,WHITE,FL,Low,PUBLIC,OTHER,BIO,1,-1,34,7.5,3.5,"['*COLUMBIA', '*CORNELL', '*UPENN', '*RUTGERS', '*TAMU']","['*YALE', '*NORTHWESTERN', '*RICE', '*WILLIAMS', '*EMORY', '*BOSTON UNIVERSITY', '*UVA']","['*YALE', '*STANFORD', '*COLUMBIA', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*SWARTHMORE', '*POMONA', '*VANDERBILT', '*UPENN', '*WASHU', '*TUFTS', '*TULANE']"
F,ASIAN,CA,Low,-1,MISSING,CS,92,-1,-1,7.5,6.8,[],[],"['*YALE', '*BROWN', '*STANFORD', '*CORNELL', '*PRINCETON', '*CALTECH', '*JOHNS HOPKINS', '*DARTMOUTH', '*POMONA', '*WILLIAMS', '*VANDERBILT', '*TUFTS']"
NB,WHITE,PA,Low,PUBLIC,MISSING,PSYCH,-1,-1,-1,1,6.5,['*UPENN'],[],['*UIUC']
M,ASIAN,CA,Low,PUBLIC,NONE,CS,10,-1,-1,1,2.0,"['*San Jose State University', '*UCM']",['*UCI'],"['*UCLA', '*UCSB', '*UCD']"
F,WHITE,CA,High,PUBLIC,OTHER,POLISCI,10,1500,-1,5.5,6.5,"['*WILLIAMS', '*UMICH']",[],[]
M,HISPANIC,CA,Low,SMALL,FIRST-GEN,CS,17,-1,-1,1,1.5,['*UCSC'],['*POMONA'],"['*San Jose State University', '*UCI']"
M,HISPANIC,FL,Low,PUBLIC,URM,POLISCI,-1,-1,31,6.5,8.2,"['*UCLA', '*YALE', '*BERKELEY', '*UCSD', '*UCSB', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*FORDHAM', '*CLAREMONT MCKENNA']","['*RICE', '*NYU', '*UMICH', '*NORTHEASTERN', '*UVA']","['*NORTHWESTERN', '*COLUMBIA', '*PRINCETON', '*JOHNS HOPKINS', '*POMONA', '*VANDERBILT', '*UPENN', '*TUFTS', '*UCHICAGO']"
M,WHITE,INTERNATIONAL,High,PRIVATE,NONE,ENG,-1,1320,-1,5,8.2,"['*UCSD', '*UCSC']",['*UCSD'],[]
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENVIRONMENTAL STUDIES,-1,-1,-1,2,2.5,"['*UCSD', '*POMONA', '*UCSB', '*UCD', '*UCM']",['*UCLA'],"['*BERKELEY', '*UCI']"
M,ASIAN,CA,Low,-1,FIRST-GEN,PREMED,-1,-1,35,6.5,2.0,[],"['*UCLA', '*UCI']","['*SWARTHMORE', '*POMONA', '*WILLIAMS', '*UPENN']"
F,ASIAN,PA,Low,PUBLIC,NONE,CS,-1,1570,-1,3.5,1.5,"['*UCD', '*UIUC', '*UT-DALLAS', '*NORTHEASTERN', '*UW MADISON', '*UCI']",[],"['*BERKELEY', '*UMICH', '*TULANE']"
F,WHITE,IL,Low,PUBLIC,OTHER,BIO,4,1430,-1,3.5,7.3,"['*PURDUE', '*CASE WESTERN', '*UW MADISON']",[],[]
M,HISPANIC,CA,High,PUBLIC,URM,BIO,1,-1,-1,3.5,6.5,['*UCSD'],['*UCI'],['*UCLA']
M,ASIAN,CA,Low,PUBLIC,NONE,CS,-1,-1,-1,5,4.5,"['*UCLA', '*UCSD', '*POMONA', '*UPENN', '*UCD', '*UCSC', '*San Jose State University']","['*BERKELEY', '*UCI']","['*CALTECH', '*NORTHEASTERN']"
M,ASIAN,CA,Low,-1,NONE,BUSINESS,-1,1250,12,2,2.5,['*ARIZONA STATE'],[],['*UCLA']
F,WHITE,-1,Low,-1,FIRST-GEN,BIO,nan,-1,30,3.5,2.5,"['*UCSD', '*UCSB', '*UCI']",['*UCLA'],['*BROWN']
F,WHITE,CA,High,PUBLIC,FIRST-GEN,ENVIRONMENTAL STUDIES,-1,-1,-1,6.5,3.5,"['*UCLA', '*COLUMBIA', '*UPENN', '*UCI']",['*UCSD'],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*NYU', '*USC', '*UCSB', '*NORTHEASTERN', '*UCHICAGO']"
M,ARAB,IA,Middle,PRIVATE,NONE,CS,5,1320,-1,7.5,2.5,"['*BERKELEY', '*UCSC']","['*RICE', '*UCI']","['*UCLA', '*CORNELL', '*NYU']"
M,ASIAN,-1,Low,MAGNET,NONE,CS,-1,1550,-1,6.5,3.5,[],[],"['*NORTHWESTERN', '*CORNELL', '*VANDERBILT', '*FORDHAM']"
F,WHITE,-1,High,-1,NONE,-1,-1,1290,-1,5,5.5,[],['*COLGATE'],[]
M,ARAB,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,ENVIRONMENTAL STUDIES,-1,1320,-1,6.5,4.2,[],[],"['*HARVARD', '*YALE', '*JOHNS HOPKINS', '*DARTMOUTH', '*EMORY']"
T,ASIAN,CA,High,PRIVATE,LGBT,CS,50,-1,31,4.5,4.5,"['*BERKELEY', '*UCD', '*UW MADISON']",[],"['*UCLA', '*BROWN', '*PRINCETON']"
F,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,-1,1540,-1,5.5,3.5,"['*BERKELEY', '*UCSD', '*USC', '*UCR']","['*UCLA', '*UCI']",[]
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,12,1510,-1,5,3.5,"['*UCSD', '*POMONA', '*UPENN', '*San Jose State University']","['*UCSD', '*UCSB', '*UCD', '*UCSC', '*VIRGINIA TECH', '*UVA']","['*UCLA', '*NORTHWESTERN', '*BERKELEY', '*GEORGIA TECH', '*CMU', '*PURDUE', '*UPENN', '*UMICH', '*USC', '*UIUC', '*UCI']"
M,ASIAN,CA,Low,PUBLIC,MISSING,CS,-1,1600,-1,"{'extracurriculars/activities': 6, 'awards/honors': 2}",0.0,"['*PURDUE', '*UCD', '*San Jose State University', '*UW MADISON', '*ARIZONA STATE']","['*UMICH', '*UCI']","['*UCLA', '*GEORGIA TECH', '*PURDUE', '*UCD', '*UIUC', '*NORTHEASTERN']"
F,ASIAN,CA,High,PUBLIC,FIRST-GEN,BIO,2,1540,-1,2.5,4.5,"['*UCLA', '*USC', '*UCI']",[],[]
M,WHITE,GA,Low,PRIVATE,URM,CS,-1,1600,-1,6.5,7.5,['*NORTHWESTERN'],[],['*UMICH']
F,WHITE,LA,MISSING,PUBLIC,LEGACY,CS,-1,1430,-1,6.5,7.5,[],[],[]
M,ASIAN,DC,Low,PUBLIC,NONE,CS,-1,1580,35,6.5,6.5,['*UPENN'],[],"['*HARVARD', '*MIT', '*BOSTON UNIVERSITY']"
M,WHITE,CO,Low,-1,OTHER,BUSINESS,-1,1460,14,4.5,4.5,[],[],"['*NYU', '*UPENN', '*VIRGINIA TECH', '*UVA']"
M,ASIAN,IN,High,PRIVATE,OTHER,HISTORY,20,-1,36,2.5,2.5,"['*POMONA', '*NYU', '*FORDHAM', '*COLGATE']","['*WASHU', '*NORTHEASTERN']","['*NORTHWESTERN', '*CORNELL', '*SWARTHMORE', '*DARTMOUTH', '*WILLIAMS', '*NYU', '*USC', '*WASHU', '*COLGATE', '*CLAREMONT MCKENNA']"
F,HISPANIC,OTHER,Low,PUBLIC,URM,-1,-1,1300,26,5,6.8,"['*MIT', '*RUTGERS']",[],"['*CORNELL', '*VANDERBILT', '*NYU']"
M,ASIAN,CA,Low,PUBLIC,OTHER,ENG,-1,1460,-1,1,4.2,"['*UCLA', '*BERKELEY', '*UCSD', '*UCSB', '*UT-AUSTIN']",['*GEORGIA TECH'],"['*STANFORD', '*CORNELL']"
M,WHITE,OR,Middle,PUBLIC,NONE,BUSINESS,-1,1540,-1,2.5,8.7,[],"['*UMICH', '*BOSTON COLLEGE', '*NORTHEASTERN']","['*VANDERBILT', '*NYU', '*BOSTON UNIVERSITY', '*UVA']"
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1,1480,-1,10,3.5,"['*DUKE', '*CASE WESTERN', '*UNC CHAPEL HILL']",[],"['*WILLIAMS', '*VANDERBILT', '*BOSTON UNIVERSITY', '*WASHU', '*COLGATE']"
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,9,1530,-1,3,7.2,"['*NORTHWESTERN', '*UCSD', '*San Jose State University', '*UCHICAGO']","['*UCLA', '*UCSD', '*UCD']",['*UCSB']
M,WHITE,WA,OTHER,PUBLIC,NONE,CS,-1,1530,-1,6.5,6.5,"['*BOSTON COLLEGE', '*NORTHEASTERN']","['*GEORGIA TECH', '*VANDERBILT', '*UMICH', '*EMORY', '*UIUC']","['*NORTHWESTERN', '*CORNELL', '*DUKE', '*CMU', '*NYU', '*UPENN', '*WASHU', '*UT-AUSTIN', '*UVA']"
F,ASIAN,-1,High,PUBLIC,NONE,BIO,1,-1,34,7.5,6.5,"['*UMICH', '*BOSTON COLLEGE']",['*BOSTON UNIVERSITY'],"['*HARVARD', '*CORNELL', '*DUKE', '*PRINCETON', '*DARTMOUTH']"
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,-1,1480,-1,5.5,7.5,"['*FORDHAM', '*RUTGERS']",[],"['*NORTHWESTERN', '*PRINCETON', '*POMONA', '*NYU', '*EMORY', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*NORTHEASTERN', '*TUFTS']"
M,ASIAN,-1,High,PUBLIC,NONE,MATH,5,1510,35,3,2.5,"['*UCSD', '*PURDUE', '*UCD', '*UCSC', '*UCR']","['*UMICH', '*NORTHEASTERN']","['*BERKELEY', '*TUFTS']"
M,WHITE,OTHER,Low,-1,MISSING,POLISCI,-1,-1,-1,6,0.5,[],['*FORDHAM'],['*NORTHEASTERN']
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1,1520,-1,7.5,4.5,"['*RICE', '*UT-AUSTIN', '*TAMU']",[],['*HARVARD']
F,ASIAN,CA,Low,-1,NONE,ENG,-1,-1,34,4.5,4.5,['*COLUMBIA'],[],"['*NORTHWESTERN', '*SWARTHMORE']"
F,ASIAN,MD,Low,PUBLIC,OTHER,BIO,6,-1,-1,6.5,2.5,[],['*UVA'],"['*YALE', '*CORNELL', '*NYU', '*UPENN', '*EMORY', '*UCHICAGO']"
F,ASIAN,AZ,Low,PUBLIC,NONE,-1,30,1390,31,6.5,4.5,"['*UCSD', '*PURDUE', '*UPENN', '*ARIZONA STATE']",[],['*BERKELEY']
F,NATIVE,WI,Low,-1,URM,-1,-1,1420,14,6.5,2.5,"['*NYU', '*USC']","['*RICE', '*WASHU']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*DUKE', '*UCHICAGO']"
NB,WHITE,MI,Low,PRIVATE,NONE,NEUROSCIENCE,10,-1,31,5.5,8.7,[],[],"['*NORTHWESTERN', '*POMONA', '*WILLIAMS', '*TUFTS']"
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,-1,1540,-1,6.5,6.5,"['*UCLA', '*BERKELEY', '*UCSD', '*UCSB', '*UCD', '*UCSC', '*UCR', '*TUFTS']",[],['*USC']
F,-1,CA,High,-1,MISSING,MATH,-1,1560,-1,6.5,8.5,"['*BERKELEY', '*GEORGIA TECH', '*BOSTON COLLEGE', '*VIRGINIA TECH', '*UVA']",['*HARVEY MUDD'],"['*UCSD', '*MIT', '*CALTECH', '*RICE', '*UCSB', '*UT-AUSTIN', '*UCI']"
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,-1,1520,-1,6.5,6.5,"['*FORDHAM', '*UVA']","['*DARTMOUTH', '*BOSTON COLLEGE']","['*NORTHWESTERN', '*CORNELL', '*BOSTON UNIVERSITY', '*TUFTS']"
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,7,1510,-1,6.5,8.5,"['*CASE WESTERN', '*UIUC']","['*SWARTHMORE', '*RICE']","['*YALE', '*BROWN', '*NORTHWESTERN', '*WILLIAMS', '*VANDERBILT', '*WASHU', '*NORTHEASTERN', '*TUFTS']"
M,WHITE,FL,OTHER,PUBLIC,NONE,BUSINESS,10,1280,-1,1,6.5,[],['*FORDHAM'],"['*RICE', '*NYU', '*UPENN']"
