Gender,Race,Residence,Income Bracket,Type of School,Hooks,Intended Major(s),GPA (UW/W),Rank (or percentile),# of Honors/AP/IB/Dual Enrollment/etc.,Senior Year Course Load,SAT,ACT,AP,Extra Curriculars,Awards,Letters of rec,Interviews,Essays,Acceptances,Waitlists,Rejections,Nationality
Male,"White, Jewish",Southern United States,"80,000 - 125,000",Magnet STEM HS,none,"History, Political Science, Philosophy, Politics, and Economics or a law focused major","94.19 / 100 (3.94), 98.73 (4.5)",School does not rank,"8 honors, 15 AP's","AP Euro (online), AP Comp Gov (online), AP Human Geo, precalculus, AP Lit, AP Macro / Micro, Teacher Assistant. All A's for first semester",,"36 (35E, 35M, 36R, 36S)","US Gov - 4, World History - 5, Seminar - 4, CSP - 4, USH - 4, Research - 3, Lang - 5, CSA - 3, Chem - 4","['Advocate for increasing student representation (11 - 12), developed and refined model legislation; secured endorsement of stakeholders, helped the legislation pass', 'Transcriber, Library of Congress (10 - 12), Made 5000+ pages indexable and searchable, verified transcription accuracy, hosted transcribing parties', 'Member of Advisory Council, 12, 1 of members chosen from over applicants; personally invited to join, sole member from, act as an ambassador', 'Ambassador, school name, 10 - 12, provide 10-15 tours to local stakeholders, help develop and run freshman orientation program', 'More powerful version of student council, 10 - 12, approve strategic plan, allocated for, publicize work of', 'President of Mock Trial club, 10-12, oversee practices and arrange visits by attorneys', 'Eagle Scouts, 9 - 12, raised in donations for project, served as patrol leader', 'Research Fellow, 11, conduct research on to expand, gain experience in analysis', 'head editor, 12, lead a team of students to review & prepare for release, helped prepare for publication', 'Cashier, local supermarket 9 - 12, designated highest evaluation, 2x winner, raised $700+ for charity']","['Nationwide essay contest finalist', 'Senate youth program delegate finalist', 'Social sciences student of the year (school)', 'Eagle Scout', 'School nominee for in math']","['APUSH Teacher (9 / 10), I had him for three years, he was the mock trial club sponsor, and I was his TA. We had a great relationship.', 'Econ Teacher (9.5 / 10), I was able to read this letter (he showed me without asking), and it was so over the top. In addition, without me asking, he wrote a letter to my top school telling them how good of a student I was and how I would attend.', 'Principal (9/10), I worked very closely with the principal and he gave some very specific and unique praise.', 'Counselor (6?/10). Did not interact with them a lot and I had some issues with them, but I was very involved with the school and had good grades so I feel like it would be nothing too good or too bad.']","Harvard - 8/10, Princeton - 8/10, Yale - 9/10, Dartmouth - 8/10, Duke - 10/10",Essays were meh except one supplemental for Yale. My main was maybe a 7/10. I've lived a really boring life so I didn't have a lot to talk about. My main essay was tying my love for a specific genre of music into some activities done over the years.,"['Alabama', 'Amherst', 'Duke', 'Georgia Tech', 'UGA', 'Vanderbilt', 'Washington & Lee', 'Williams', 'Yale']","['Columbia', 'Dartmouth']","['Colby', 'Harvard', 'Princeton', 'Stanford']",
Female / Prefer not to say,"Asian, Vietnamese",Fairly small city?,100k+,Public school,n/a,International Relations/Global Studies,3.8+ UW 4.0+ W,20/~200,"1 Honors, 4 APs, ~6 DE","AP Physics 1, APES, AP Lit, Concert Band, Marching Band",,,,"['Self-taught Indonesian, Fluent', 'Self-taught Korean, Fluent', 'ASB, Recognition Team Leader', 'Class of 2024, President', 'Concert Band, First Chair', 'Jazz Band, Lead Alto', 'Marching Band, Section Leader', 'Varsity Swim / Summer Swim Team']",,,,"I think my essays were pretty mediocre, but they had a central theme surrounding language & culture since I devoted most of my time to learning languages and it has become a huge part of my life.","['UC Davis: International Relations', 'UC Santa Barbara: Global Studies (committed)', 'UC Riverside: International Relations', 'UCI: International Studies']",['UCLA: Global Studies'],"['UC San Diego: International Relations', 'UC Berkeley: Global Studies']",
Male,South Asian,Northeast,200k+,Extremely-competitive public,duke legacy but mba,Biology/Biochemistry/Biomedical Sciences/Philosophy,3.94/5.08,idk maybe top 10% our school doesn't do rank,18 AP weighted courses,"AP Art History, AP Physics E&M, AP Psychology, AP Lit, Multivariable Calculus, Spanish 5","1560 (770 RW, 790M)",,"5 on Calc BC, Chemistry, Gov, Statistics, US History, and World History; 4 on Physics, Bio, CSA; 3 in Lang which i didn't report","['Robotics: core team member, team went to worlds (national comp) few times', 'Academic Competition Varsity Captain', 'FBLA Co-Founder/Board Member', 'DECA Competitor', 'VP of Public Health Club', 'Student researcher at a nonprofit for voter registration', 'Intern at another nonprofit for water safety', 'Podcast Creator for Mental Health', 'NHS', 'Investment Club']","['VEX Worlds Division Finalist', 'National Merit Semi-Finalist', 'FBLA State Finalist', 'some regional deca award', 'AP Scholar with Distinction']","[""AP Spanish teacher: 6/10. I enjoyed her class but I wasn't the best at Spanish so I wonder if that may have hurt her recommendation. I assume it had something about growth, because she mentioned that to me when I asked her."", 'AP Chem teacher: 8/10. His class actually made me switch my career path from CS to something related to biochemistry because I realized I was way more interested in that.', ""AP Calc teacher: I asked this because I initially thought I was going to apply to Cornell's engineering school, but I applied to CAS instead. 5/10, nothing amazing.""]","['Princeton: 7/10, I feel like I connected with the interviewer a lot and she seemed very interested in what I had to say. We had a cool discussion on Eastern philosophy for a little bit, and overall we had a very good rapport.', ""Harvard: 3/10. I couldn't relate to the interviewer that much and he largely seemed interested about his own career path (consulting.) I did get a new side to that field though!"", 'Penn: 5/10: Very normalish. Just some basic questions. Neither bad or good', 'Duke: 6/10: Talked with my interviewer about my AP Art History class, and we had a nice conversation about that.', 'Cornell: 5/10: Only in-person interview, again just some basic questions, neither bad or good']","['Personal Statement: was about how i learned to be confident and speak properly, in hindsight kind of a bad topic but i feel like it showed my personal growth decently, 6/10', 'Supplements: focused on my experiences with undergoing treatment for my allergies and how i want to focus on the intersection between ethics and biochemistry to develop treatments in a way that respects patients. 6/10']","['Pitt (Honors College)', 'Penn State (Rejected Schreyers)', 'University of South Florida (nmf full ride + honors college, committed)', 'Case Western (deferred -> accepted with 35k per year scholarship)', 'Purdue', 'UCSD', 'UC Davis (Provost, 15k per year scholarship)']","['UCLA', 'Georgia Tech (deferred + waitlist)', 'UMich (deferred + waitlist)', 'Northeastern (deferred + waitlist)']","['UNC Chapel Hill', 'UC Berkeley', 'Vanderbilt', 'Johns Hopkins', 'WashU', 'Harvard', 'Yale', 'Duke', 'Princeton', 'Cornell', 'Rice', 'Dartmouth', 'Penn (early decision)', 'USC']",
Male,Asian (Chinese),Bay Area,$300-400k,Semi-competitive public in rich area,,"Applied Math, Math/CS","3.33/4.0 UW and 3.6 W at time of application, 4.35 UC Uncapped GPA, 4.17 UC Capped, 3.75 UC unweighted",School doesn't rank,"Honors classes: precalculus and physics, APs: CSP (4), CSA (5), Calc AB (5), APUSH (5), Lang (4)","AP Physics C: Mechanics, AP Gov, AP Micro + Macro economics, AP Calc BC, AP Lit",1520 (740 / 780),,"CSP (4), CSA (5), Calc AB (5), APUSH (5), Lang (4)","['Game development club / nonprofit', 'Volunteered teaching kids how to code and build websites and games for 3 years', 'Wrote a few articles about math, submitted to SoME2 and got honorable mention', 'Did robotics for 1 year', 'Built a few websites for family member and robotics team', ""Got a few online software developer 'bootcamp' certificates"", 'Contributed to some open source software projects']","['AP Scholar with Distinction', 'National Merit Semifinalist']",,,"Wrote about being a 'hacker' and software freedom fighter, love for math, leadership in the non-profit, overcoming poor freshman year grades","['UC Riverside', 'UC Merced', 'UC Santa Barbara', 'UC Davis']","['UC Santa Cruz', 'UC Davis', 'UC Santa Barbara', 'UC San Diego']","['UC Berkeley', 'UCLA', 'UC Irvine']",
Male,Asian (Indian),NY,$300-400k,"Public school, pretty small (120ish kids in grade)",,"biomed engineering, comp engineering or electrical engineering - on pre-med track","3.8 UW, 4.1 W",no rank (would be like top 10 if I had to guess),6 AP Classes (taking 5 this year),"AP Physics 1, AP Statistics, AP English Literature, AP Psychology, AP Macroeconomics",1520 (790 M & 730 E),,"{'AP World History': '4', 'AP Seminar': '3', 'AP Calculus AB': '4', 'AP US History': '4', 'AP Biology': '4', 'AP English Language': '4', 'AP Physics 1': 'prob a 4', 'AP Statistics': 'prob a 5', 'AP English Literature': 'prob a 5', 'AP Psychology': 'prob a 5', 'AP Macroeconomics': 'prob a 3'}","['accepted into volunteering program with 20-30 kids from around the world to volunteer in India', 'Vice President of a stock market club', 'treasurer of a medical club', '150+ volunteer hours at local hospital', '30 hours of shadowing an orthopedic doctor', 'took an online graded class on surgery at JHU, received an A-', '3 varsity sports: tennis (3 yrs), bowling (5 yrs), badminton (2 yrs), won states in tennis', '30+ hours of research experience with an orthopedic doctor', 'Feinstein Institute Summer Research Program - 50 hours on research about scoliosis biometrics', 'got to observe in the OR with my research director who is also an orthopedic surgeon', 'EDX Course Completion - Musculoskeletal System', 'self learned how to build computers, started up a computer building and selling business, made around $10k in revenue']","['Honorable mention on the National Spanish Exam', 'World Language Honor Society', 'AP Scholar with Distinction', 'NHS (1 year)', 'NYS Diploma Seal of Civic Readiness']","['AP Lang teacher (had for two years)', 'AP Calc AB teacher (had for two years)']",,"common app about 3 stages of my life, going from building and creating simple things from legos to computers to wanting to go to the next level of the engineering field","['Stonybrook (EA) - Accepted + Honors, $2k a year', 'Pitt (Rolling) - Accepted + Honors, $20k a year', 'SUNY Polytechnic (EA) - Accepted, $5k a year', 'SUNY Binghamton (EA) - Accepted', 'Hofstra (EA) - Accepted, $37k a year', 'NYIT (EA) (BS/DO Program) - Accepted, $28k a year', 'RPI (EA) - Accepted, $36k a year', 'RIT (RD) - Accepted, $25k a year', 'Boston University (RD) - Accepted', 'NYU (RD) - Waitlisted -> Accepted']","['Northeastern (EA) - Deferred -> Waitlisted', 'UMich (RD) - Waitlisted']","['CMU (ED1) - Rejected', 'Georgia Tech (EA) - Rejected', 'UChicago (RD) - Rejected', 'JHU (RD) - Rejected', 'Northwestern (RD) - Rejected', 'Vanderbilt (RD) - Rejected', 'UPenn (RD) - Rejected', 'Columbia (RD) - Rejected', 'Cornell (RD) - Rejected', 'Brown (RD) - Rejected', 'Purdue (RD) - Rejected', 'Duke (RD) - Rejected']",
Female,Asian(Chinese),China but studies in Singapore(International),~$110k/yr,Private boarding,First-Gen,Business/Finance/Econ,"My school doesn't calculate GPA. All based on IB, 7 is full. 6 courses in total and 3 extra for Theory of Knowledge, Extended Essay and Creativity Activity and Service.",N/A,IB triple language course selection,"IB Chinese A Language&Literature Standard Level, IB English B Higher Level, IB French B SL, IB Economics HL, IB Computer Science SL, IB Maths Application and Interpretation HL",1480(700RW+780M) for ED1 and EA; 1520(730RW+790M) superscore for ED2,,IB predicted 35/42 or 37/45,"['Leader, Economics & Finance Society——Organized weekly meetings to discuss economic and financial news; invited guest speakers, developed agendas and crafted presentations.', 'Member, Southeast Asia Exchange(Six-week program)——School Worked with peers from other Asian countries on regional issues like education and health care; Found appropriate solutions with help from experts.', 'Head of Student Admissions Facilitator——Supported school admissions team recruiting new students; Organized alumni interviews with prospective students and made detailed notes.', 'Leader, Child at Street 11——Taught kids from low-income families; Planned and executed activities for a small class, including reading, art, maths, and games.', 'Member, Girls In Tech——Brainstormed and solved coding challenges in a team setting; invited women in the STEM industry to give talks about their careers.', 'Member, Swimming Club——Learned different types of swimming: breaststroke, freestyle.', 'Traditional Chinese dance——Hobby, performed in the local community.', 'Member, Author, School magazine——Wrote 4 articles per week during the summer for school magazine on international news and school memories.', 'Member, Alumni Association——Helped organize events such as alumni reunion and alumni talks; Networking with alumni to discuss their strength and shared it with current students.', 'Member—— Read English books to kindergarten children in our school; Practiced monologue speech; Ensured class participation.']","['International Certificate of Education with Distinction', 'Common European Framework of Reference for Languages(CEFR) Diploma of Studies in French Language B1', 'National Economics Challenge China 2022 National Top Scoring Individual Bronze Award']","['Maths Teacher- 7/10', 'Counselor - 8/10', 'English Teacher - 8/10']",Not even a single one.,"Common App Essay: family background with no English speaking people, childhood of first-gen student, experienced gender prejudice in the community(with examples), process of overcoming above challenges","['Brandeis University (ED2)——5-year MBA program in international business, undergrad and master offer (direct into master if high GPA guaranteed until junior year) ——> COMMITED', 'Northeastern University (EA)——NUin program, first semester at partner schools in Europe, remaining at Boston campus ——*> DECLINED DUE TO ED2 COMMITMENT']",[],['Tufts (ED1)'],
M,White/Asian,WA,no aid,Small Public,none,"Business, Finance, Entrepreneurship","3.95, school doesn't have weighted",School doesn't rank,"2 honors, 6 APs including senior classes","AP Calc AB, AP Stats, AP Lit, Physics, free period, Marketing, PE","1510 (760RW, 750M)",didn't take,"Lang (4), CSA (5), didn't take HUG exam","['cofounded local service business with 25k annual revenue', 'part time job working in a kitchen', 'varsity cross country, team captain and team podium finish at state', 'varsity track jr/sr year', 'casual violinist for ~10yrs', 'varsity lacrosse for sophomore year', 'distance running in off-season which included training for and running a marathon']","['NHS participant', 'National Rural and Small Town Recognition Program']",,"{'Penn': '3/10', 'Harvard and Stanford': '6/10', 'Babson': '10/10'}",PS - 7/10,"['Bentley', 'Cornell School of Hotel Administration -> Committed']","['Babson -> declined', 'UMich -> declined', 'UWashington -> declined']","['University of Pennsylvania M&T and Wharton (ED)', 'UVA EA', 'USC EA -> deferred -> rejected', 'Harvard', 'Stanford', 'WashU']",
Female,"Mixed (Asian, White, Black)",Virginia,"<$70,000 (Negative SAI)",Public,URM,Creative Technologies (Animation),4.0 / 4.1952,6/378 (Not submitted),"2 Honors, 7 AP, 1 Dual Enrollment","AP Chem, AP Gov, Dual Enrollment English, AP Art, Japanese 1, Digital Art","1200 (620 RW, 580 M)",N/A,"Human Geo (5), Stats (4), US History (3), English Lang (2)","['Community Service: Volunteer, Society of St. Vincent de Paul', 'Work (Paid): Part-Time Health and Beauty Clerk, Harris Teeter', 'Academic: Active Member, National Honor Society, Leadership: Oversaw Fundraising Event', 'Work (Paid): Part-Time Frozen and Dairy Clerk, Harris Teeter', 'Art: Student, Pre-College Summer Course, The Art Institutes', 'Religious: Eucharistic Minister, Church', 'Athletics: Club Volleyball, Member of Youth HS Competitive Team', 'Other Club/Activity: Member, Film Club', 'Community Service: Volunteer/Leader, Vacation Bible School, Church, Leadership: Managed Arts & Crafts Station']","['QuestBridge National College Match Finalist', 'National African American Recognition Award', ""Principal's List"", 'AP Scholar Award', 'Student of the Year']","['Guidance Counselor (?/10)', 'AP Statistics Teacher (10/10)', 'AP US History Teacher (8/10)', 'Art Teacher (9/10)']",N/A,"I think I spent about a month on my essay, but I can't remember. I felt like my essay was pretty good, but I thought it might be controversial depending on the reader so I was a little nervous. I'm not that good of a writer, but I think the content made up for it. I basically talked about my experience growing up mixed race and how I won't let race define me. I thought it might be problematic because I said a black girl was being racist to me by mentioning how a black girl once told me I only got straight A's because I was 'white' and that I realized that some people use race as an excuse for their failures. I said that I thought it was sad she was raised to think that way and ended by saying I wouldn't let my race dictate what I should like or how I should behave and that I would decide for myself rather than following others.","['Virginia Polytechnic Institute and State University (Virginia Tech)!!! (EA) - Presidential Scholarship Initiative Recipient (approx. $17,000 per year to cover rest of tuition and room and board)', 'Virginia Commonwealth University (EA) - Virginia Merit Award Recipient ($4,000 per year)', 'Longwood University (EA) - Presidential Scholarship Recipient ($8,000 per year)']",[],['University of Southern California (ED through QuestBridge)'],
Male,Black (Nigerian),Zimbabwe (International),200k+,Private Boarding School (VA),none,Computer Science,3.97 / 4.35,4/~60 (Schools only saw top 10%),14,all Honors / AP courses,"1280 (650RW, 630M) [TO]",,,"['Startup Founder (never got off the ground, but put in a lot of work. Explained that in my app)', 'Frontend dev intern at startup after junior year', 'Tech related magazine and podcast (ended once I moved to the US after freshman year)', 'Varsity Swim Captain (multiple conference wide awards, states qualifier)', 'JROTC Cadre', 'MUN VP', 'Sang on choir that had national awards', 'Student Life committee Vice president (Basically organized events for boarding school students)', 'Honor Council Defense Rep / VP', 'Cybersecurity Intern after sophomore year']","['NHS', 'AFJROTC Master Sergeant', 'ILA French language test: Level B2', 'Java Student of the year', ""President's list of academic achievement, award given to those with 4.0+ every quarter, won it every quarter for 3 years""]","[""Maths teacher (9/10) - My math teacher is a really passionate individual with an eccentric personality. I was one of his favourite students in our precalc class, and we talked quite a bit outside of class. I'm confident in his rec. This was the only one I submitted for most of my applications"", ""Chem / physics teacher (7/10) - I had this teacher for 3 years in a row, so I'm sure she knew a lot about me to write down. But we definitely weren't as close as my and my maths teacher.""]",None,"Most of my essays were actually second drafts - except my personal statement, which I wrote and never touched again. I'm a pretty good writer, but I found that editing my stuff too much kind of took away from my voice. I wrote my main personal statement about making my bed in military school, and what that taught me about success.","['University of Arizona', 'Fordham University', 'Wingate University', 'Roberts Wesleyan University', 'Curry College', 'Rutgers New Brunswick', 'Rutgers Camden', 'Hofstra', 'Florida Tech', 'Penn State', 'Boston University', 'Northeastern University (committed)']","['UCLA', 'UCSD', 'Case Western']","['UCSB', 'Tufts', 'Bates College', 'NYU', 'UPenn', 'Cornell', 'UC Berkeley', 'USC', 'Johns Hopkins']",
Male,"Latinx, White","South America, Argentina",full-aid,Non-elite jewish private school,none,Computer Engineering or CS + Latin American Studies,9.99 (8th-12th) on a 10.0 scale,1 / 543,School didn’t offer,"15 classes, 7 specialized in CS, Electronics and Project Management","1550 (750 RW, 800 M)",,,"['Team Captain @ Robotics Club: Independently created 4 mini-sumo competition robots. Competed w/university students & engineering professionals.', 'Elected Vice-president of MUN Club: Organized 6 MUNs for 6300 students, Conf. President 6x; Best Delegate 3x, Hon. Mention 2x, Del. of the People.', 'Competed in Technology Olympiads, Natn`l 4th place; Physics Olympiads, Natn’l 26th (2022) & 3rd prize (2023) in advanced level.', ""Building website & database to recover Shoa survivors' names w/ intn'l NGOs' involvement. Tour guide @ Holocaust Museum; Featured in 2024 book publication @ Anne Frank Center."", 'Organized 15 activities for 400+ 5-6th & 1000+ 10th graders on mechanics & electronics. Coordinator @ 3 expositions w/ 2000+ attendants.', ""Co-authored independent research paper on theater cooperatives in Buenos Aires' modern digital times. Placed 2nd @ Argentinian Research Olympiads, published by [UNI] as finalists."", 'Ministry Young Advisor: Discussed public policies, built official media campaigns (w/ 85k+ views), and co-developed a survey for city students w/ City Gov. representatives.', 'Swimming, 13yrs (2yrs competitive); Handball, 2yrs; Volleyball, 2yr; Tennis, summer; Skiing, winter (120hs).', 'Shared photos of DIY decor/furniture in my bedroom to prove low-budget aesthetic interior design is possible. Reached 1.700.000+ views & ~60+ countries.', ""Built app to enhance small businesses' revenues & reduce food waste. Led team, pitched, & programmed front/back-end.""]","[""Natn'l Olympiads: Physics, 3rd prize; Technology, 4th place (2200 partic.); Historic Research, 2nd place (143 papers)"", ""Natn'l Robotics League Mini-sumo category: Silver Medal @ [Location] & Bronze Medal @ [Location]"", ""[Name] South American writing competition: 1 of 25 Intn'l publications (2146 submissions)"", ""[Name] STEM Communication Awards: Intn'l winner + $400 scholarship"", ""[human-rights related] Literary Competition: Natn'l winner (370+ participants)""]","['Physics teacher: 8/10', 'Jewish studies teacher: 9/10', 'Headmaster of electronics track: 9.5/10', 'Best friend: 9.5/10']","['Bowdoin: 5.5/10', 'Stanford: 6/10', 'Princeton: 9/10', 'UPenn: 10/10', 'Yale: 7.5/10', 'NYU: 8.5/10', 'Dartmouth: 8/10', 'W&L: 7/10']","['Personal Statement: 8.5/10', 'Supplementals: 9/10: Princeton, Brown and NYU', 'Supplementals: 8/10: Notre Dame, Lehigh and Williams', 'Supplementals: 7/10: Amherst, Dartmouth and W&L', 'Supplementals: 6/10: Harvard', 'Supplementals: 5/10: JHU, UPenn and Bowdoin', 'Supplementals: 4/10: Columbia and Stanford']","['Washington and Lee + Johnson Scholar (full merit scholarship + 10k stipend)', 'Bowdoin + Faculty Scholars (full financial aid scholarship + 3k stipend)', 'NYU Abu Dhabi (85% COA finaid)']","['Princeton', 'Dartmouth', 'Brown', 'Columbia', 'UPenn', 'Williams']","['Stanford REA', 'Harvard', 'Yale', 'Notre Dame', 'Lehigh', 'Amherst', 'Johns Hopkins', 'Case Western Reserve']",
Male,White,New York,3M,Private,"Double Legacy at Harvard, Single Legacy at Princeton, Single Legacy at Stanford",Economics,4.0/4.89,1/122,17 APs,"['AP Statistics', 'AP Gov/Macro', 'AP Calc B/C', 'AP Physics II', 'AP Chem', 'AP Lang']",1510,Didn’t Take,['5s on every AP Exam except for APUSH (4)'],"['Founder of Non-Profit raising money for research in rare diseases ($50K raised via family donations mainly)', 'Founder of Startup in AI raising 25K+', 'Worked for my dad’s law firm for all 4 years of high school', 'Founder and President of my school’s Investment Society', 'Economics Research Intern with Columbia professor', 'President of Speech and Debate', 'President of DECA', 'Captain of Varsity Baseball Team', 'Head Intern of local city council campaign', 'President of Key Club']","['Speech and Debate National Finalist (3x Qualifier) (NSDA)', 'TOC Semi-Finalist and 4x Qualifier', 'Research Publication', 'NSDA Premier Distinction', 'ICDC Qualifier 3x']","['Physics Teacher - 6/10', 'Counselor - 4/10', 'Economics Professor - 8/10', 'English Teacher - 7/10']",,Common App Essay: Mainly about my non-profit and inspirations stemming from a major issue my freshman year,"['USC', 'Dartmouth', 'Columbia', 'UChicago', 'UC Berkeley', 'UCLA', 'ASU', 'Harvard', 'Princeton (Committed)']","['Stanford -> Rejected', 'MIT -> Rejected', 'George Washington -> Rejected']","['Yale', 'Brown', 'Cornell', 'Penn', 'Babson', 'CMU', 'UCI', 'UNC', 'Duke', 'Clemson']",
Male,Asian,Bay Area,$460K,Extremely competitive public school,,"CS, planning on minoring/switching to double major in either EE or Math",3.72 UW/4.1 W/4.4 UC-Weighted,Top 25%,10 APs,7 APs going into senior year,1520 (730 Eng + 790 Math),,"{'AP Physics': '5', 'AP BC': '5 with AB subscore of 5', 'AP USH': '4', 'AP CSA': '5', 'AP Modern World': '4', 'AP Macro/Micro': 'N/A'}","['3 Actual Hackathons, one of which I won', '4 Game Jams', 'Taught two one-week courses as a volunteer', 'C++ Certified', 'USACO gold', 'Built a game engine from scratch in C++']","['AP Scholar with Distinction', '2-time AIME qualifier']",,,,['ASU'],"['UW Madison', 'U-Mass Amherst', 'UC Santa Cruz', 'UC Riverside', 'MIT', 'CMU']","['Purdue', 'UMD', 'UIUC', 'Literally every UC except the ones listed above', 'UT Austin', 'U Wash', 'SJSU']",
Male,Asian,California,,,None,"Computer Science, AI",3.8/4.4,4th decile,"9 total APs, a lot of IB and Cambridge classes",,"1500 (780 math, 720 rw)",,,"['Basketball 4 years', 'CS intern at software firm, created an application that the company uses to this day', 'CS/Data Analytics intern at research foundation, worked on algorithms and with professors', 'Volunteered at food bank (200 hours)', 'Volunteered as a delivery coordinator for an organization that fights food insecurity', 'Founded a non-profit to help kids find volunteer opportunities and find tutors', 'Technical director at church, helped with the conjoined school and troubleshooted problems', 'VP of computer science club', 'Worked with a brand on their app launch (details not specified for security)', 'President of engineering society']","['PVSA gold', 'AP Scholar with Distinction', 'Java certifications', 'Other programming certifications', 'Regional volunteering award']","['Very good LOR from teachers who were very close with the student', 'Internship mentor wrote one']",,"Good, spent lots of time","['Boston University (waitlisted first)', 'UMD', 'Northeastern', 'Purdue', 'UW Madison', 'UC Davis', 'UCR', 'UC Merced']","['Colby', 'Rice', 'Vanderbilt', 'UCSB']","['Harvey Mudd (ED2)', 'Georgia Tech', 'Cornell', 'Johns Hopkins', 'UIUC', 'WASHU', 'Northwestern', 'USC', 'UMichigan', 'UC Berkeley', 'UCLA', 'UCSD', 'UCI']",
,,,,,,,"3.6 unweighted, 5.0 weighted",,,,1300 superscore,,12 APs - 10 3s 2 4s,"['5 years of art in a prof studio', '1 year of karate', 'Chess Club member(sophomore) -> co pres(senior) -> pres(senior) held prize money events', 'TA (junior for 2 semesters)', 'Jenga Club Founder/Pres', 'Stock Investor (doubled the initial in a year)', 'Tutor (Chinese 1-AP, algebra)', '300 volunteering hours (through TA since I didn’t TA at my hs)']","['scholastic art and writing: statewide Honorable mention, silver key, and gold key', 'Celebrating Art: national high merit', 'New York Internationals: international painting first prize']",,,,"['SLU (prof aviation)', 'UGA (education)', 'Pratt (industrial design)', 'Parsons (industrial design)', 'SCAD (industrial design)', 'Auburn (aviation)', 'Middle Georgia State (aviation science/management)', 'UMich (Business) - Waitlisted -> accepted']",['Georgia Tech (industrial design)'],"['Purdue (aviation science)', 'RISD (industrial design)']",
Male,"African-American (parents came from Africa, so second-gen American)",Indiana,Upper Middle Class,Very Competitive College-Prep Private HS,URM,International Affairs/Political Science,School doesn’t provide UW/4.45,School doesn’t rank,"11, 6 Honors, 5 APs","2 APs, 1 Advanced (above honors), rest college prep",,34,,"['Member of a college-level scholar program that provides internships with pay. I am one of the only high school students. Obtained two internships at different companies with this program. The program also provides a place for networking that allows for more job opportunities in the future.', 'President of inaugural Diversity and Inclusion committee at HS. Organized many events and school-wide educational sessions.', 'Founder of a club that teaches students about literature from around the world.', 'A teacher aide for a program that gives enrichment opportunities for mainly neurodivergent kids. I’ve been volunteering for this program since middle school and have amassed almost 400 hours.', 'Member of a yearly local program that showcases youth’s artwork and other forms of expression in regard to identity and certain themes. I organized the events and decided which themes the students should center their art around.', 'Part of a varsity sports team, all four years, and selected to be a co-captain for this year.', 'Member of a local program part of the legal system in my area which prevents children from committing crimes through interventions.', 'A volunteer for a program that makes it possible for low-income students to attend local private schools. The program prepared students for entrance exams, classes, etc.']","['College Board National African American Recognition Scholar', 'Multiple regional scholastic gold keys in creative writing', 'An award given to one junior-year student yearly for commitment to community, kindness, and academic merit', 'School-level Chinese Honor Society member', 'High Honor Roll all four years']","['English teacher (9/10): I had this teacher for two years (small school) and often talked with him to discuss my essays, English literature, and more. He has always expressed to my parents how fond he is of me, and was very happy when I asked if he could write my letter of recommendation. I think it went well!', 'History Teacher (9/10): I had this teacher for history for sophomore and junior year, and then was also my senior advisor. Pretty similar sentiments to my last teacher, so I’ll say it went well.']","I got to do an interview at Swarthmore, Bowdoin, and WashU. I think my best interview definitely was Bowdoin: the interviewer was very happy that I was interested in the college and was really hoping I ED’d. The other interviews were average, at least to my perspective.","I spent my whole summer before senior year writing my essay, and I was really deadset on what I wanted to write about. I talked about a specific interest that I had (specifically a certain food) and I used it as an extended metaphor to compare it with other struggles I’ve experienced in my life. The essay DID NOT, however, focus on those struggles. I highlighted how I use one specific instance to motivate me in everything I do, etc. It sounds a bit bland because I’m trying to be very vague, but the specific topic was niche enough where I think it sparked interest.","['Washington University in St. Louis (ED, full-tuition merit scholarship!)', 'University of St. Andrews (Rolling decision, it’s in Scotland so different process, got in for 4 year International Relations program)', 'Fordham University (EA, full tuition merit scholarship)', 'Howard University (EA)', 'Indiana University, Bloomington (EA)', 'Ohio State University (EA, got some merit scholarships)']",,[],
,,,,,,,,,,,,,,,,,,,['Brown'],,,
